                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.1432,                0.85333,                 1.1082,                0.90559,                0.94118,                0.95536,                0.60019,                 1.3618,                0.89539,                  1.395,              0.0011467,              0.0011467,              0.0011467
                     90,                 1.2441,                0.90835,                 1.1397,                0.90559,                0.94118,                0.95536,                0.60019,                 1.3618,                0.89539,                  1.395,              0.0011527,              0.0011527,              0.0011527
                     91,                 1.0856,                0.80639,                 1.0854,                0.87015,                0.98563,                0.96261,                0.59152,                 1.3825,                0.83545,                 1.3878,              0.0011585,              0.0011585,              0.0011585
                     92,                 1.2154,                0.85838,                 1.1134,                0.87015,                0.98563,                0.96261,                0.59152,                 1.3825,                0.83545,                 1.3878,              0.0011641,              0.0011641,              0.0011641
                     93,                 1.1767,                0.87187,                 1.1291,                0.87015,                0.98563,                0.96261,                0.59152,                 1.3825,                0.83545,                 1.3878,              0.0011697,              0.0011697,              0.0011697
                     94,                 1.1621,                0.82263,                 1.1333,                0.87015,                0.98563,                0.96261,                0.59152,                 1.3825,                0.83545,                 1.3878,               0.001175,               0.001175,               0.001175
                     95,                 1.0753,                 0.8944,                 1.1078,                0.96349,                0.94118,                0.97769,                0.59732,                 1.4221,                0.87057,                 1.3852,              0.0011802,              0.0011802,              0.0011802
                     96,                 1.0818,                0.81468,                 1.1011,                0.96349,                0.94118,                0.97769,                0.59732,                 1.4221,                0.87057,                 1.3852,              0.0011852,              0.0011852,              0.0011852
                     97,                 1.0159,                0.79679,                  1.128,                0.96349,                0.94118,                0.97769,                0.59732,                 1.4221,                0.87057,                 1.3852,              0.0011901,              0.0011901,              0.0011901
                     98,                 1.1018,                0.80064,                 1.1045,                0.96349,                0.94118,                0.97769,                0.59732,                 1.4221,                0.87057,                 1.3852,              0.0011948,              0.0011948,              0.0011948
                     99,                 1.0606,                0.87002,                 1.1345,                0.93915,                  0.908,                0.95664,                0.60236,                 1.3753,                0.89608,                 1.3366,              0.0011994,              0.0011994,              0.0011994
                    100,                 1.1239,                0.90364,                 1.1304,                0.93915,                  0.908,                0.95664,                0.60236,                 1.3753,                0.89608,                 1.3366,              0.0012038,              0.0012038,              0.0012038
                    101,                 1.0078,                 0.9288,                 1.1975,                0.93915,                  0.908,                0.95664,                0.60236,                 1.3753,                0.89608,                 1.3366,               0.001208,               0.001208,               0.001208
                    102,                 1.0358,                0.83686,                 1.1288,                0.93915,                  0.908,                0.95664,                0.60236,                 1.3753,                0.89608,                 1.3366,               0.001208,               0.001208,               0.001208
                    103,                 0.9374,                0.80148,                  1.082,                 0.8087,                0.91176,                 0.8626,                0.53385,                 1.3604,                0.97872,                 1.3229,              0.0012001,              0.0012001,              0.0012001
                    104,                 1.1494,                 0.9227,                 1.1272,                 0.8087,                0.91176,                 0.8626,                0.53385,                 1.3604,                0.97872,                 1.3229,              0.0011922,              0.0011922,              0.0011922
