                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 0.2996,                0.21187,                0.79531,                0.99859,                0.99894,                0.99498,                 0.9739,                0.23025,                0.16822,                0.79116,             0.00039318,             0.00039318,             0.00039318
                     83,                 0.2954,                0.21044,                0.79462,                0.99845,                0.99938,                0.99498,                0.97403,                0.23601,                0.16303,                0.79174,             0.00038768,             0.00038768,             0.00038768
                     84,                0.29558,                0.21086,                0.79426,                 0.9982,                 0.9988,                0.99497,                0.97157,                0.24035,                0.16707,                0.79186,             0.00038218,             0.00038218,             0.00038218
                     85,                0.29611,                0.21058,                0.79565,                0.99867,                 0.9991,                0.99495,                 0.9742,                0.23447,                0.16225,                 0.7896,             0.00037668,             0.00037668,             0.00037668
                     86,                0.29565,                0.21073,                0.79501,                0.99833,                0.99912,                0.99496,                0.97491,                0.23147,                0.16549,                0.78932,             0.00037118,             0.00037118,             0.00037118
                     87,                0.29705,                0.21049,                0.79529,                0.99876,                0.99885,                0.99497,                0.97408,                0.22809,                0.17143,                0.79368,             0.00036569,             0.00036569,             0.00036569
                     88,                0.29326,                0.20861,                0.79504,                0.99858,                0.99874,                0.99497,                0.97512,                0.22788,                0.16107,                0.79234,             0.00036019,             0.00036019,             0.00036019
                     89,                0.29363,                 0.2081,                0.79503,                0.99888,                0.99899,                0.99497,                0.97371,                0.22607,                0.15612,                0.78923,             0.00035469,             0.00035469,             0.00035469
                     90,                0.29127,                0.20697,                0.79555,                0.99842,                0.99868,                0.99499,                0.97454,                0.22819,                0.15407,                0.78961,             0.00034919,             0.00034919,             0.00034919
                     91,                0.29429,                0.20794,                0.79707,                0.99866,                0.99921,                0.99499,                0.97497,                0.22975,                0.15906,                0.78941,              0.0003437,              0.0003437,              0.0003437
                     92,                0.28875,                0.20589,                0.79537,                0.99842,                0.99901,                0.99497,                 0.9756,                0.22411,                0.15829,                0.79022,              0.0003382,              0.0003382,              0.0003382
                     93,                0.28607,                0.20407,                0.79354,                0.99897,                0.99904,                0.99499,                0.97499,                0.22405,                0.15998,                0.79116,              0.0003327,              0.0003327,              0.0003327
